"","PERMCO","GVKEY","SECID","start_date","end_date"
"4691","15719","065492","9281",1997-09-26,2000-01-28
"4692","15720","065484","102130",1997-09-26,2009-04-01
"4693","15721","065489","112150",1997-09-26,2001-11-28
"4694","15722","065494","101879",1997-10-08,2005-10-05
"4695","15723","065502","9283",1997-09-30,2000-02-18
"4696","15724","065577","109660",1998-01-08,1999-04-21
"4697","15725","065501","102079",1997-10-01,2003-12-31
"4698","15727","065512","112323",1997-10-01,2000-12-28
"4699","15728","065515","101562",1997-10-01,2013-04-05
"4700","15729","065521","108440",1997-10-01,2011-06-10
"4701","15730","065513","112380",1997-10-01,2003-09-05
"4702","15731","065520","9284",1997-10-01,1999-04-21
"4703","15732","NA","102547",1998-07-08,2001-01-11
"4704","15733","065420","9271",1997-10-01,2000-11-13
"4705","15734","107643","108234",1997-10-01,2007-09-11
"4706","15736","065554","109131",1997-10-01,2013-07-25
"4707","15737","065604","9291",1997-10-02,2000-05-01
"4708","15738","065578","103425",1997-10-02,2005-07-12
"4709","15739","065607","108367",1997-10-02,2015-12-31
"4710","15740","065533","103135",1997-10-03,2003-01-17
"4711","15741","065541","108526",1997-10-06,2003-10-31
"4712","15742","212639","112461",1997-10-07,2010-07-01
"4713","15743","065550","107023",1997-10-07,2009-07-09
"4714","15745","065552","109790",1997-10-07,2015-12-31
"4715","15746","065549","9286",1997-10-07,1999-07-09
"4716","15747","065562","107535",1997-10-08,2002-07-10
"4717","15748","065564","9287",1997-10-08,2000-02-01
"4718","15749","065574","110483",1997-10-09,2001-06-28
"4719","15750","065569","100868",1997-10-09,2011-11-18
"4720","15752","065592","111109",1997-10-10,2000-09-26
"4721","15753","065586","9289",1997-10-10,1999-10-15
"4722","15754","065593","111322",1997-10-10,2000-08-28
"4723","15755","065585","106239",1997-10-10,2000-12-06
"4724","15757","065698","101052",1998-02-12,2000-12-01
"4725","15758","065609","102524",1997-10-15,2015-12-31
"4726","15759","065624","111624",1997-10-16,2003-09-19
"4727","15760","065622","103324",1997-10-16,2005-06-07
"4728","15761","065640","106380",1997-10-17,2015-12-31
"4729","15763","065633","9294",1997-10-17,1999-03-17
"4730","15764","065629","9293",1997-10-17,2000-03-28
"4731","15765","206211","104951",1997-10-20,2015-12-31
"4732","15766","065652","108077",1997-10-21,2001-04-30
"4733","15767","065653","108931",1997-10-21,2000-12-29
"4734","15768","065655","109673",1997-10-21,2011-01-19
"4735","15769","065657","110586",1997-10-21,2001-11-16
"4736","1577","004439","104429",1990-09-20,2015-12-31
"4737","15770","065658","111117",1997-10-21,2002-10-25
"4738","15771","065665","108338",1997-12-01,2004-02-27
"4739","15773","065735","9304",1997-10-22,1998-12-30
"4740","15775","065667","9296",1997-10-22,2000-03-10
"4741","15776","065672","9298",1997-10-23,1999-05-05
"4742","15777","065681","109213",1997-10-24,2005-10-14
"4743","15778","065690","108566",1997-10-24,2000-08-09
"4744","15779","065679","105935",1997-10-24,2002-08-27
"4745","15779","065679","116440",2002-10-30,2006-07-26
"4746","15780","065680","108797",1997-10-24,2006-11-10
"4747","15781","065706","107497",1997-10-29,2002-05-17
"4748","15782","065703","103228",1997-10-29,2010-01-21
"4749","15783","065702","102771",1997-10-29,2015-12-31
"4750","15784","065701","9300",1997-10-29,2000-10-02
"4751","15785","065705","9301",1997-10-29,2000-10-25
"4752","15786","065708","111237",1997-10-29,2004-12-30
"4753","15787","065709","112244",1997-10-29,2001-06-19
"4754","15788","065725","111287",1997-10-30,2003-03-31
"4755","15789","065724","9303",1997-10-30,2000-06-20
"4756","1579","004173","5316",1985-10-30,1998-09-28
"4757","15790","065716","9302",1997-10-30,2000-06-07
"4758","15791","065739","108906",1997-10-31,2015-11-24
"4759","15792","065734","104834",1997-10-31,2004-06-01
"4760","15793","065731","101850",1997-10-31,2001-03-23
"4761","15794","065738","108261",1997-10-31,2007-11-15
"4762","15795","065761","9307",1997-11-04,2000-03-23
"4763","15796","065755","9306",1997-11-04,1999-03-12
"4764","15798","065858","109106",1997-11-17,2001-01-19
"4765","15799","065753","102818",1997-11-04,1999-10-21
"4766","15800","065765","102545",1997-11-05,2015-12-31
"4767","15801","022380","103840",1997-11-05,1999-02-10
"4768","15802","065944","103788",1997-12-03,2015-12-31
"4769","15803","065768","106267",1997-11-05,2002-12-27
"4770","15804","065771","112198",1997-11-05,2013-01-30
"4771","15805","065766","9309",1997-11-05,1999-11-03
"4772","15806","065787","109149",1997-11-06,2001-05-22
"4773","15807","NA","111543",1997-11-06,2000-12-01
"4774","15808","065777","102044",1997-11-06,2001-03-30
"4775","15809","063059","101094",1997-11-06,2007-09-18
"4776","15810","065788","110291",1997-11-06,2001-06-19
"4777","15811","065785","9312",1997-11-06,2000-06-06
"4778","15813","065790","102014",1997-11-07,2005-10-26
"4779","15814","065794","9314",1997-11-07,2000-05-16
"4780","15815","065810","110858",1997-11-10,2004-02-03
"4781","15818","065814","9315",1997-11-11,1999-10-19
"4782","15819","065812","103004",1997-11-11,2015-12-31
"4783","1582","004448","104436",1973-03-22,2015-12-31
"4784","15820","031027","103290",1997-11-12,1999-05-07
"4785","15821","065825","105853",1997-11-12,2002-04-05
"4786","15822","065841","110421",1997-11-13,2004-12-10
"4787","15823","065843","111745",1997-11-13,2002-06-27
"4788","15824","066004","105020",1997-11-14,2007-08-30
"4789","15826","065850","102920",1997-11-14,2015-12-31
"4790","15827","065740","102721",1997-11-14,2001-11-30
"4791","15828","065979","111308",1997-11-14,2002-12-17
"4792","15829","065866","106823",1997-11-18,2002-02-19
"4793","1583","004467","104477",1978-09-07,2009-07-07
"4794","15830","027517","112624",1997-11-19,2005-10-26
"4795","15831","065869","9319",1997-11-19,1999-10-29
"4796","15832","065872","109241",1997-11-19,2015-12-31
"4797","15833","062117","102199",1997-11-19,2001-07-18
"4798","15834","065880","9321",1997-11-20,2000-04-20
"4799","15836","065882","9322",1997-11-20,2000-03-07
"4800","15837","105133","112295",1997-11-20,2003-02-14
"4801","15838","065875","109367",1997-11-20,2002-02-28
"4802","15839","065861","103776",1997-11-21,2000-10-27
"4803","1584","004176","104102",1972-12-14,1999-07-14
"4804","15840","065887","101607",1997-11-21,2006-07-07
"4805","15841","065896","108371",1997-11-21,2015-12-31
"4806","15842","065894","9323",1997-11-21,2000-03-02
"4807","15843","065899","109506",1997-11-21,2015-12-31
"4808","15844","065893","105150",1997-11-21,2010-03-24
"4809","15845","065901","110912",1997-11-21,2001-05-10
"4810","15846","065897","104349",1997-11-21,2001-05-29
"4811","15847","065803","109443",1997-11-21,2006-11-15
"4812","15848","065971","106344",1997-11-25,2015-02-10
"4813","15849","065905","102152",1997-11-25,2015-12-31
"4814","15850","065907","104224",1997-11-25,2002-05-23
"4815","15851","065911","105116",1997-11-25,2011-08-10
"4816","15852","065913","105753",1997-11-25,2001-01-16
"4817","15853","065915","107745",1997-11-25,2002-02-14
"4818","15854","065904","101612",1997-11-25,2015-12-31
"4819","15855","065916","108744",1997-11-25,2002-07-01
"4820","15856","031068","8436",1997-11-26,1998-04-15
"4821","15857","065914","9325",1997-11-25,2000-01-19
"4822","15858","065937","107891",1997-11-26,2012-03-19
"4823","15859","065923","102326",1997-11-26,2003-12-11
"4824","15860","065930","106251",1997-11-26,2010-08-13
"4825","15861","065936","9328",1997-11-26,2000-02-22
"4826","15862","065922","112328",1997-11-26,2003-08-04
"4827","15863","061750","108334",1997-12-01,2015-12-31
"4828","15864","062976","109817",1997-12-01,2009-07-24
"4829","15865","065948","107125",1997-12-02,2006-09-26
"4830","15866","065949","111345",1997-12-02,2002-10-31
"4831","15868","066108","110660",1998-01-08,2000-10-19
"4832","15870","065961","105999",1997-12-04,1999-01-28
"4833","15871","025808","106102",1997-12-04,2002-08-21
"4834","15873","065972","107575",1997-12-05,2001-08-13
"4835","15874","065978","112390",1997-12-05,2003-01-15
"4836","15875","065973","108439",1997-12-05,2010-10-27
"4837","15876","065988","9331",1997-12-05,2000-02-29
"4838","15877","066001","9333",1997-12-09,2000-06-23
"4839","15878","066003","9334",1997-12-15,2000-06-23
"4840","15879","214862","104325",1997-12-11,2002-07-12
"4841","1588","004156","110652",1993-07-02,2015-12-31
"4842","15881","066022","112250",1997-12-10,2006-11-15
"4843","15882","066289","105712",1997-12-10,2004-02-11
"4844","15883","064906","102744",1997-12-10,1999-06-18
"4845","15885","066031","108538",1997-12-11,2003-04-30
"4846","15886","066027","104920",1997-12-12,2001-06-29
"4847","15887","066026","104890",1997-12-12,1999-10-06
"4848","15888","066034","110387",1997-12-12,2002-02-25
"4849","15889","066628","112279",1997-12-12,2003-02-03
"4850","15890","066032","109128",1997-12-12,2015-12-31
"4851","15891","022507","103482",1997-12-16,2010-10-21
"4852","15892","066043","9337",1997-12-16,2000-04-19
"4853","15893","066046","109207",1997-12-16,2003-03-12
"4854","15895","066059","111044",1997-12-17,2013-11-04
"4855","15896","066056","9338",1997-12-17,1999-08-31
"4856","15897","066053","103540",1997-12-18,2001-04-11
"4857","15898","066062","106411",1997-12-18,2001-07-19
"4858","15899","066070","107151",1997-12-18,2003-08-08
"4859","15900","066073","108703",1997-12-19,2003-08-19
"4860","15901","065133","102692",1999-04-01,2012-09-21
"4861","15902","031270","101899",2000-07-03,2008-05-30
"4862","15903","066091","111875",1997-12-23,2004-10-01
"4863","15904","031335","102283",1997-12-23,2001-11-30
"4864","15905","021136","101348",1997-12-24,2009-09-02
"4865","15906","066101","101156",1998-01-08,2000-12-08
"4866","15907","066102","111391",1997-12-29,2006-03-17
"4867","15909","065365","108158",1997-12-30,2015-12-31
"4868","15910","066152","9342",1998-02-26,1998-10-09
"4869","15911","066151","105388",1997-12-31,2008-04-01
"4870","15912","066148","104115",1998-01-02,2015-12-31
"4871","15913","029979","8187",1998-01-05,1999-09-30
"4872","15914","066263","111463",1998-01-05,2005-12-30
"4873","15915","031267","110228",1998-01-07,2008-02-29
"4874","15916","019398","101104",1998-01-12,2015-12-31
"4875","15917","066272","107827",1998-01-09,2005-01-07
"4876","15918","066285","105690",1998-01-09,2015-12-31
"4877","15919","066269","103890",1998-01-09,2001-04-19
"4878","1592","004182","112104",1993-01-04,2000-11-29
"4879","15920","066278","105129",1998-01-09,2006-05-03
"4880","15921","066286","111047",1998-01-13,2015-12-31
"4881","15922","065895","107034",1999-01-29,2005-12-30
"4882","15923","066305","104199",1998-01-15,2002-04-03
"4883","15925","213050","107061",1998-04-02,2001-10-05
"4884","15926","065958","102427",1998-01-22,2015-12-31
"4885","15927","066114","106541",1998-01-22,2003-11-06
"4886","15928","066366","109680",1998-01-27,2015-12-31
"4887","15929","105156","112405",1998-01-28,2002-10-02
"4888","15930","066389","111904",1998-01-29,2010-01-08
"4889","15931","019537","110517",1998-01-29,2008-04-04
"4890","15932","066630","107449",1998-01-29,2015-10-13
"4891","15933","066235","107898",1998-01-29,2015-12-31
"4892","15934","066379","102736",1998-01-29,2015-12-31
"4893","15935","066381","105606",1998-01-29,2002-04-16
"4894","15936","066386","104284",1998-01-29,2008-12-29
"4895","15938","066395","9348",1998-01-30,2000-05-08
"4896","15939","066393","107432",1998-01-30,2015-12-31
"4897","15940","066368","111666",1998-01-30,2015-12-31
"4898","15941","066403","101680",1998-02-03,2004-12-23
"4899","15942","066409","9349",1998-02-04,1999-03-23
"4900","15943","066631","107600",1998-02-04,2003-12-04
"4901","15944","066407","112464",1998-02-04,2004-06-28
"4902","15945","066479","9354",1998-02-04,1999-02-17
"4903","15946","066414","105281",1998-02-05,2001-05-31
"4904","15947","066413","103331",1998-02-05,1999-12-21
"4905","15948","025823","108631",1998-02-05,2010-09-30
"4906","15949","066416","111813",1998-02-05,2001-12-04
"4907","15950","062356","105358",1998-02-05,2001-03-28
"4908","15952","066415","9350",1998-02-05,1999-03-30
"4909","15953","066418","103884",1998-02-06,2000-12-29
"4910","15954","066447","111777",1998-02-06,2006-01-20
"4911","15955","066625","9362",1998-02-06,2000-07-05
"4912","15956","106853","105788",1998-02-09,2015-12-31
"4913","15957","066424","103557",1998-02-10,2001-08-27
"4914","15958","066428","110796",1998-02-10,2000-09-06
"4915","15959","066425","108434",1998-02-10,2007-09-06
"4916","15960","066423","9351",1998-02-10,2000-08-31
"4917","15961","066435","109273",1998-02-11,2005-04-15
"4918","15962","066610","102203",1998-02-11,2015-12-31
"4919","15963","063196","105234",1998-02-11,2008-07-02
"4920","15964","025033","108201",1998-02-12,2009-03-20
"4921","15965","066445","107348",1998-02-17,2001-06-20
"4922","15966","066443","9352",1998-02-12,1998-12-31
"4923","15967","062088","108090",1998-02-13,2012-11-28
"4924","15968","066543","9356",1998-02-12,1999-07-15
"4925","15969","066454","101000",1998-02-13,2001-07-16
"4926","15970","066468","107540",1998-02-13,2006-02-14
"4927","15971","066455","104749",1998-02-13,2008-01-11
"4928","15972","066459","110722",1998-02-13,2003-03-27
"4929","15973","066681","112256",1998-02-13,2013-10-02
"4930","15974","066450","101736",1998-02-13,2003-07-24
"4931","15975","066452","102690",1998-02-13,2005-12-16
"4932","15977","066465","104215",1998-03-16,2003-10-24
"4933","15978","066476","109633",1998-02-18,2001-07-31
"4934","15979","066496","108290",1998-02-20,2015-12-31
"4935","15980","066507","103931",1998-02-20,2005-07-13
"4936","15981","066526","110123",1998-02-24,2008-07-25
"4937","15982","061229","107577",1998-02-24,2010-05-14
"4938","15983","066529","103732",1998-02-25,2005-03-04
"4939","15984","066519","105190",1998-02-24,2008-01-25
"4940","15986","066518","105294",1998-02-24,1999-11-08
"4941","15987","030893","110704",1998-02-25,2002-08-14
"4942","15988","066530","103897",1998-04-06,2007-02-23
"4943","15989","066544","101723",1998-02-26,2002-04-19
"4944","15990","066563","9358",1998-02-27,2000-06-19
"4945","15991","066680","110494",1998-02-27,2001-12-18
"4946","15992","066546","9357",1998-02-27,1999-08-20
"4947","15993","066155","108242",1998-03-02,2015-12-31
"4948","15994","066586","108599",1998-03-03,2015-12-31
"4949","15995","066588","110658",1998-03-04,2015-12-31
"4950","15996","066582","104511",1998-03-04,2005-10-26
"4951","15997","066590","9361",1998-03-04,1999-08-23
"4952","1600","004469","5340",1972-12-14,1999-09-24
"4953","16001","066300","106796",1998-03-10,2011-05-09
"4954","16002","066623","111423",1998-03-10,2001-09-21
"4955","16003","066616","101234",1998-03-11,2001-04-20
"4956","16004","066634","9364",1998-03-11,2000-07-25
"4957","16005","066655","9365",1998-03-12,2000-02-08
"4958","16006","066648","103489",1998-03-12,2010-06-30
"4959","16007","066696","112388",1998-03-13,2011-11-30
"4960","16008","066657","103967",1998-03-13,2002-11-25
"4961","16009","066667","9369",1998-03-13,1999-08-16
"4962","16010","066656","103214",1998-03-13,2001-03-21
"4963","16011","066660","108128",1998-03-13,2007-11-16
"4964","16012","066658","9366",1998-03-13,2000-08-30
"4965","16013","066666","9368",1998-03-16,2000-03-20
"4966","16014","066672","102802",1998-03-17,2006-03-15
"4967","16015","066675","108801",1998-03-17,2001-03-13
"4968","16016","066673","106051",1998-03-17,2006-05-31
"4969","16017","066698","103578",1998-03-18,2009-10-01
"4970","16018","106368","104515",1998-03-19,2001-09-25
"4971","16019","107895","112478",1998-12-04,2000-11-15
"4972","16020","066682","105083",1998-03-23,2001-03-13
"4973","16021","106900","106324",1998-03-24,2006-10-20
"4974","16022","063479","101957",2000-09-01,2011-12-30
"4975","16023","106228","104108",1998-03-24,2004-03-05
"4976","16024","212340","110120",1998-03-27,2015-12-31
"4977","16025","106760","105461",1998-03-25,2002-08-30
"4978","16026","105670","102372",1998-03-25,2015-12-31
"4979","16027","108564","111148",1998-03-26,2005-09-23
"4980","16028","106846","105762",1998-03-26,2005-08-26
"4981","16029","105936","103190",1998-03-27,2015-12-31
"4982","1603","004416","5337",1995-01-26,1996-11-06
"4983","16030","108967","109694",1998-04-03,1999-11-23
"4984","16031","066725","105021",1998-04-01,2002-11-26
"4985","16032","108970","112052",1998-04-01,2004-10-13
"4986","16033","013440","106908",1998-04-01,2015-12-31
"4987","16034","005513","105586",1998-04-01,2007-11-14
"4988","16035","065228","111365",1999-03-15,2015-12-31
"4989","16036","109043","105798",1998-04-02,2007-12-11
"4990","16037","066504","103177",1998-04-02,2015-12-31
"4991","16038","109082","9403",1998-04-03,1999-12-17
"4992","1604","004160","104080",1985-09-03,2000-11-29
"4993","16040","066728","110309",1998-04-07,2012-03-29
"4994","16041","063814","108216",1998-04-07,2014-10-03
"4995","16042","109247","108437",1998-04-08,2002-09-20
"4996","16043","109240","103573",1998-04-08,1999-08-30
"4997","16044","017549","103376",1998-04-09,1999-05-11
"4998","16045","109301","9405",1998-04-09,1999-12-23
"4999","16046","109318","103726",1998-04-09,2011-11-28
"5000","16047","109338","112257",1998-04-09,2004-07-29
"5001","16048","109366","105134",1998-04-13,2012-09-28
"5002","16049","109425","107889",1998-04-14,2009-03-20
"5003","16051","109423","105790",1998-04-15,2004-07-29
"5004","16052","109364","103188",1998-04-15,2001-11-15
"5005","16053","109584","105028",1998-04-16,2010-04-30
"5006","16054","109580","101364",1998-04-16,2012-02-09
"5007","16055","109581","102344",1998-04-17,2001-07-02
"5008","16056","066708","102362",1998-04-17,2015-12-31
"5009","16058","109179","101666",1998-04-21,2015-12-31
"5010","16059","109600","112304",1998-04-17,2013-07-30
"5011","1606","004477","104496",1989-05-01,2010-02-08
"5012","16060","109683","104823",1998-04-20,2015-12-31
"5013","16063","109762","9406",1998-04-22,2000-06-16
"5014","16064","109840","102937",1998-04-23,2000-03-31
"5015","16065","109826","107198",1998-04-23,2015-12-31
"5016","16066","109919","102921",1998-04-24,2015-12-31
"5017","16068","109831","111433",1998-04-24,2009-07-02
"5018","16069","109764","106068",1998-04-24,2001-06-29
"5019","16070","109920","103629",1998-04-24,2003-06-09
"5020","16071","108111","109747",1998-04-28,2002-08-22
"5021","16072","066713","106118",1998-04-28,2001-07-26
"5022","16074","066723","107641",1998-04-28,2007-06-18
"5023","16075","064934","105417",1998-04-29,2015-12-31
"5024","16077","110045","109264",1998-04-29,2002-11-12
"5025","16078","110100","104566",1998-04-29,2004-08-24
"5026","16079","017049","107172",1998-05-01,2002-03-08
"5027","16080","110039","101510",1998-05-01,2015-12-31
"5028","16081","110106","111438",1998-05-01,2000-05-19
"5029","16082","109849","9407",1998-05-01,1999-12-08
"5030","16083","110160","102348",1998-05-01,2003-10-16
"5031","16084","064784","106555",1998-05-04,2012-06-01
"5032","16085","061276","109851",1998-05-04,2006-02-07
"5033","16086","106881","101056",1998-05-05,2002-04-04
"5034","16087","110239","102619",1998-05-05,2001-06-15
"5035","16089","110387","106154",1998-05-07,2014-01-06
"5036","16090","110320","101514",1998-05-07,2002-02-07
"5037","16091","066726","108489",1998-06-15,2000-11-06
"5038","16092","110379","100946",1998-05-07,2001-11-19
"5039","16093","110480","9410",1998-05-08,1999-11-12
"5040","16094","022049","103925",1998-05-08,2007-03-16
"5041","16095","110384","9409",1998-05-08,1999-08-19
"5042","16097","065834","102142",1998-05-08,2002-05-21
"5043","16098","106847","105767",1998-05-11,2000-12-11
"5044","16099","110535","9411",1998-05-12,2000-09-08
"5045","1610","004485","103632",1991-09-26,2015-12-31
"5046","16100","110326","107755",1998-05-12,2002-04-03
"5047","16100","110326","116199",2004-05-20,2006-08-04
"5048","16101","110529","104490",1998-05-12,2015-12-31
"5049","16102","110532","108475",1998-05-12,2002-12-17
"5050","16104","110568","108597",1998-05-13,2001-04-30
"5051","16105","110560","104580",1998-05-13,2003-08-21
"5052","16106","110575","111521",1998-05-13,2001-04-06
"5053","16107","062979","110355",1998-05-13,2015-12-31
"5054","16108","110588","105035",1998-05-14,2005-04-12
"5055","16109","110620","105961",1998-05-15,2015-12-31
"5056","16110","062592","108546",1998-05-15,2015-12-31
"5057","16111","110562","105881",1998-05-15,2003-05-08
"5058","16112","110679","102251",1998-05-19,2004-04-20
"5059","16113","062057","112031",1998-05-19,2015-12-31
"5060","16114","061866","102854",1998-05-19,2006-01-31
"5061","16115","110683","105444",1998-05-19,2005-10-19
"5062","16116","106820","9394",1998-10-02,2000-08-31
"5063","16117","110681","105072",1998-05-19,2003-10-20
"5064","16118","026402","7667",1998-05-19,1999-05-20
"5065","16119","110728","109237",1998-05-20,2015-12-31
"5066","16120","110721","102758",1998-05-20,2007-04-02
"5067","16121","110760","100963",1998-05-21,2015-12-31
"5068","16122","064726","104917",1998-05-22,2002-03-28
"5069","16123","110732","111891",1998-05-22,2015-12-31
"5070","16124","110766","103319",1998-05-22,2003-02-20
"5071","16125","110801","101750",1998-05-22,2003-11-12
"5072","16128","111005","109548",1998-05-28,2002-05-07
"5073","16129","018680","108029",1998-05-28,2001-06-05
"5074","16130","111000","101572",1998-05-28,2015-12-31
"5075","16131","110759","101336",1998-05-28,2000-10-31
"5076","16132","017951","103959",1998-06-02,2001-06-29
"5077","16133","111064","111355",1998-06-02,2015-12-31
"5078","16135","111059","9416",1998-06-02,2000-03-02
"5079","16136","111168","110522",1998-06-05,2005-11-04
"5080","16138","111287","109455",1998-06-05,2004-05-14
"5081","16140","111490","107981",1998-06-10,2006-08-08
"5082","16141","111488","106128",1998-06-10,2003-03-19
"5083","16142","111493","112103",1998-06-10,2004-04-26
"5084","16143","111671","108746",1998-06-10,2002-08-12
"5085","16144","111491","109960",1998-06-10,2013-02-05
"5086","16145","111282","103351",1998-06-10,2005-03-30
"5087","16146","111408","107265",1998-06-10,2000-01-21
"5088","16148","111492","111532",1998-06-11,2009-03-18
"5089","16149","111534","107529",1998-06-11,2015-12-31
"5090","16150","111479","101861",1998-06-11,2001-05-11
"5091","16151","110771","109082",1998-06-12,2005-05-05
"5092","16152","111591","9418",1998-06-12,1999-10-26
"5093","16153","111579","103101",1998-06-12,2004-03-18
"5094","16154","109641","104473",1998-06-12,2001-04-27
"5095","16155","111532","105589",1998-06-12,2014-07-15
"5096","16156","110725","105484",1998-06-15,2003-07-22
"5097","16157","014386","105283",1998-06-16,2011-06-17
"5098","16158","111662","102065",1998-06-17,2015-12-31
"5099","16159","065980","104632",1998-06-17,2008-09-30
"5100","16160","111723","105272",1998-06-17,2007-05-11
"5101","16161","111731","102123",1998-06-17,2002-01-24
"5102","16162","111627","105796",1998-06-19,2003-12-10
"5103","16163","111779","103179",1998-06-18,2015-12-31
"5104","16165","111719","103103",1998-06-29,2000-12-15
"5105","16166","111205","106325",1998-06-19,2002-10-08
"5106","16167","111864","103138",1998-06-19,2015-12-31
"5107","16168","111881","9420",1998-06-19,1999-10-13
"5108","16169","111873","109591",1998-06-19,2008-06-17
"5109","16170","111874","109701",1998-06-19,2001-05-08
"5110","16171","111868","105731",1998-06-23,2007-08-07
"5111","16172","111968","9421",1998-06-23,1999-11-02
"5112","16173","111976","111880",1998-06-23,2014-04-30
"5113","16174","017982","101481",1999-12-17,2012-05-02
"5114","16176","112004","109779",1998-06-24,2006-04-04
"5115","16177","111960","102254",1998-06-24,2007-09-21
"5116","16178","062562","111302",1998-06-25,2003-05-28
"5117","16179","112033","106697",1998-06-25,2011-02-28
"5118","16180","112042","110842",1998-06-26,2002-07-24
"5119","16181","112092","105956",1998-06-26,2001-08-08
"5120","16182","112030","103575",1998-06-26,2015-12-31
"5121","16183","112048","112351",1998-06-29,2002-03-15
"5122","16184","112090","104789",1998-06-29,2004-03-31
"5123","16186","112095","107622",1998-06-30,2013-02-07
"5124","16186","112095","107623",2000-06-21,2003-11-13
"5125","16187","112034","106770",1998-06-30,2015-12-31
"5126","16188","112111","103467",1998-07-01,2015-12-31
"5127","16189","112186","105826",1998-07-01,2005-01-14
"5128","16190","112179","101230",1998-07-01,2003-05-23
"5129","16191","111869","106515",1998-07-01,2000-12-01
"5130","16192","112184","103043",1998-07-01,2001-06-26
"5131","16193","112187","106922",1998-07-29,2002-12-31
"5132","16194","112001","103156",1998-07-02,2002-07-02
"5133","16195","112178","100976",1998-07-02,2006-03-31
"5134","16196","112185","105799",1998-07-02,2004-01-02
"5135","16197","110488","109831",1998-07-06,2005-06-30
"5136","16199","065266","104574",1998-07-07,2008-02-27
"5137","162","001331","101289",1972-12-14,2002-07-09
"5138","1620","004674","109543",1994-05-02,2015-12-31
"5139","16200","063511","111392",1998-07-07,2011-11-02
"5140","16201","112366","106714",1998-07-08,2013-07-01
"5141","16202","112362","101864",1998-07-08,2014-02-14
"5142","16203","112402","102778",1998-07-09,2009-03-11
"5143","16204","112410","111409",1998-07-09,2015-12-31
"5144","16205","062715","108063",1998-07-10,2002-04-01
"5145","16206","112413","112416",1998-07-10,2013-02-05
"5146","16207","112473","101049",1998-07-10,2012-05-31
"5147","16208","062294","8807",1998-07-13,1999-10-27
"5148","16209","065069","107562",1998-08-04,2007-04-30
"5149","1621","004680","5358",1978-02-13,1998-03-31
"5150","16210","112557","111009",1998-07-14,2004-01-05
"5151","16212","112623","111269",1998-07-16,2007-06-20
"5152","16213","112626","102732",1998-07-17,2015-12-31
"5153","16214","112624","101042",1998-07-17,2015-01-15
"5154","16215","112625","9425",1998-07-17,1999-07-20
"5155","16216","062129","108653",1998-07-17,2007-04-04
"5156","16217","112408","110220",1998-07-17,2007-05-11
"5157","16218","110400","105777",1998-07-20,2003-02-28
"5158","16219","062056","107351",1998-07-20,2000-10-25
"5159","16220","031894","101910",1998-07-21,2006-10-13
"5160","16221","112718","105325",1998-07-22,2004-07-14
"5161","16222","112721","109582",1998-07-22,2015-12-31
"5162","16223","112622","105974",1998-07-22,2001-04-04
"5163","16224","112720","107965",1998-07-22,2007-12-28
"5164","16225","109189","105803",1998-07-23,2005-09-09
"5165","16226","112552","103465",1998-07-23,2007-12-13
"5166","16227","030924","8411",1998-07-23,2000-01-12
"5167","16228","113178","105875",1998-08-10,2003-03-20
"5168","16229","207154","9543",1998-07-24,2000-09-07
"5169","16230","112752","102141",1998-07-24,2006-01-06
"5170","16231","115121","102517",1998-07-24,2013-11-12
"5171","16232","111961","102855",1998-07-28,2013-04-11
"5172","16233","112880","105841",1998-07-28,2001-09-25
"5173","16234","112877","111343",1998-07-28,2002-11-13
"5174","16235","112775","104238",1998-07-28,2005-10-07
"5175","16236","112774","104143",1998-07-28,2015-12-31
"5176","16237","112888","9427",1998-07-29,2000-06-21
"5177","16238","061071","102136",1998-07-29,2000-10-17
"5178","16239","112878","105779",1998-07-29,2001-02-13
"5179","16240","112778","109454",1998-07-30,2001-09-20
"5180","16241","112971","111114",1998-07-30,2001-08-09
"5181","16242","112965","104902",1998-07-30,2004-07-15
"5182","16243","112966","105242",1998-07-30,2001-03-22
"5183","16244","112970","107993",1998-07-31,2002-06-07
"5184","16246","113026","103586",1998-07-31,2001-11-08
"5185","16247","112874","102759",1998-07-31,2008-02-08
"5186","16248","108453","110826",1998-08-03,2002-03-15
"5187","16249","113036","9429",1998-08-04,2000-01-27
"5188","16250","066636","104451",1998-08-04,2002-01-11
"5189","16251","113141","111402",1998-08-05,2003-05-22
"5190","16253","065126","106627",1998-08-07,2001-02-13
"5191","16254","113270","104150",1998-08-07,2010-08-24
"5192","16256","113364","9431",1998-08-11,1999-05-28
"5193","16257","113362","103854",1998-08-11,2015-02-12
"5194","16258","113224","107769",1998-08-11,2000-12-21
"5195","16259","113367","107456",1998-08-11,2007-05-31
"5196","16260","113460","103145",1998-08-19,2003-01-31
"5197","16261","113491","112288",1998-08-14,2002-01-30
"5198","16261","113491","120081",2004-01-22,2011-10-03
"5199","16262","113533","108864",1998-09-01,2010-11-03
"5200","16263","113489","9433",1998-08-14,2000-06-19
"5201","16264","113498","111271",1998-08-14,2007-07-12
"5202","16265","105126","112274",1998-08-17,2002-03-08
"5203","16266","113609","104378",1998-08-18,2009-07-28
"5204","16267","113425","110954",1998-08-18,2006-04-03
"5205","16268","113490","103545",1998-08-18,2015-12-31
"5206","16269","113459","103081",1998-08-19,2007-03-12
"5207","16270","113832","102003",1998-08-27,2000-12-27
